focus,n,pct
Drug repurposing,12,0.24
Mechanism,8,0.16
Biomarker identification,7,0.14
DDI prediction,2,0.04
Drug response,2,0.04
Drug response prediction,2,0.04
Target discovery,2,0.04
Biomarker,1,0.02
Biomarker discovery,1,0.02
Drug discovery support,1,0.02
Drug optimization,1,0.02
Drug sensitivity biomarkers,1,0.02
Explainability,1,0.02
Explainable reasoning paths,1,0.02
Interpretability,1,0.02
Marker discovery,1,0.02
Off-target prediction,1,0.02
Precision medicine,1,0.02
Prediction,1,0.02
Repurposing,1,0.02
Target database,1,0.02
Women's health precision medicine,1,0.02
